2026-07-01 20:05:33 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 20:05:33 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 20:05:33 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 20:05:33 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 20:05:33 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 20:05:33 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 20:05:33 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 20:05:34 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 20:05:44 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 20:05:45 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 20:05:45 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 20:05:52 | INFO     | core.ui_automator:217 | Waiting 5s
2026-07-01 20:05:58 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 20:05:58 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:05:59 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 20:05:59 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:06:41 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 20:06:41 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 20:06:41 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 20:06:41 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 20:06:41 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 20:06:42 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 20:06:42 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 20:06:42 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 20:06:46 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 20:06:47 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 20:06:47 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 20:06:48 | INFO     | core.ui_automator:217 | Waiting 5s
2026-07-01 20:06:54 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 20:06:54 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:06:56 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 20:06:56 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:06:57 | INFO     | utils.common:66 | ✅ 断言通过：‘添加到…’对话框中应存在 ‘收藏’ 选项
2026-07-01 20:06:57 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 20:07:00 | INFO     | utils.common:66 | ✅ 断言通过：应能再次唤出工具菜单
2026-07-01 20:07:00 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:07:02 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '我的收藏' 项
2026-07-01 20:07:02 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 20:07:05 | INFO     | utils.common:66 | ✅ 断言通过：收藏夹中应包含关键词 '好看的视频'
2026-07-01 20:07:05 | INFO     | utils.common:66 | ✅ 断言通过：应能定位到 '好看的视频' 条目用于长按
2026-07-01 20:07:06 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:07:08 | INFO     | utils.common:66 | ✅ 断言通过：编辑面板底部应存在 '删除' 按钮
2026-07-01 20:07:08 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:07:10 | INFO     | utils.common:66 | ✅ 断言通过：应弹出 '删除 N 个收藏' 确认按钮
2026-07-01 20:07:10 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 20:07:12 | INFO     | utils.common:66 | ✅ 断言通过：删除后收藏夹应不再包含 '好看的视频'
2026-07-01 20:07:12 | INFO     | utils.common:66 | ✅ 断言通过：我的收藏页应存在返回按钮
2026-07-01 20:07:12 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 20:07:15 | INFO     | utils.common:66 | ✅ 断言通过：Web 页底部应存在 '主页' 按钮
2026-07-01 20:07:15 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 20:07:18 | INFO     | utils.common:66 | ✅ 断言通过：主页也应能唤出工具菜单
2026-07-01 20:07:18 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:07:20 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '退出' 项
2026-07-01 20:07:20 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 20:07:32 | INFO     | utils.common:66 | ✅ 断言通过：退出后浏览器不应仍在前台，包名 com.android.browser
2026-07-01 20:07:32 | INFO     | core.app_controller:36 | Stopping app: com.android.browser
2026-07-01 20:07:32 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/add_favorite] 添加收藏到收藏夹 — 成功
2026-07-01 20:07:32 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 1/1 ---
2026-07-01 20:07:32 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-01 20:07:32 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 1，失败 0
2026-07-01 20:07:32 | INFO     | tasks.framework.runner:58 |   [PASS] [browser/add_favorite] 添加收藏到收藏夹
2026-07-01 20:07:32 | INFO     | tasks.framework.runner:59 | ==================================================
2026-07-01 20:19:53 | INFO     | __main__:123 | 开始执行 APK：browser
2026-07-01 20:19:53 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 20:19:53 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 20:19:53 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 20:19:53 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 20:19:53 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 20:19:54 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/TC005_add_favorite] 添加收藏到收藏夹
2026-07-01 20:19:54 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 20:19:54 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 20:20:02 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 20:20:03 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 20:20:03 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 20:20:10 | INFO     | core.ui_automator:217 | Waiting 5s
2026-07-01 20:20:15 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 20:20:15 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:20:17 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 20:20:17 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:20:34 | ERROR    | utils.common:68 | ❌ 断言失败：‘添加到…’对话框中应存在 ‘收藏’ 选项
2026-07-01 20:20:34 | ERROR    | core.exception_handler:36 | Exception [assertion]: AssertionError: ‘添加到…’对话框中应存在 ‘收藏’ 选项
2026-07-01 20:20:34 | DEBUG    | core.exception_handler:37 | NoneType: None

2026-07-01 20:20:34 | INFO     | core.ui_automator:164 | Taking screenshot -> D:\ksdtool\toolksd_033206\APKAutomatedTesting\NaturalLangua\screenshots\error_20260701_202034.png
2026-07-01 20:20:34 | INFO     | core.exception_handler:46 | Error screenshot saved: D:\ksdtool\toolksd_033206\APKAutomatedTesting\NaturalLangua\screenshots\error_20260701_202034.png
2026-07-01 20:20:34 | ERROR    | tasks.framework.base_case:92 | 用例断言失败：添加收藏到收藏夹
2026-07-01 20:20:34 | INFO     | core.app_controller:36 | Stopping app: com.android.browser
2026-07-01 20:20:34 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/TC005_add_favorite] 添加收藏到收藏夹 — 失败
2026-07-01 20:20:34 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 0/1 ---
2026-07-01 20:20:34 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-01 20:20:34 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 0，失败 1
2026-07-01 20:20:34 | INFO     | tasks.framework.runner:58 |   [FAIL] [browser/TC005_add_favorite] 添加收藏到收藏夹
2026-07-01 20:20:34 | INFO     | tasks.framework.runner:59 | ==================================================
2026-07-01 20:20:47 | INFO     | __main__:123 | 开始执行 APK：browser
2026-07-01 20:20:47 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 20:20:47 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 20:20:48 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 20:20:48 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 20:20:48 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 20:20:48 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/TC005_add_favorite] 添加收藏到收藏夹
2026-07-01 20:20:48 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 20:20:49 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 20:20:52 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 20:20:53 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 20:20:54 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 20:20:54 | INFO     | core.ui_automator:217 | Waiting 5s
2026-07-01 20:21:00 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 20:21:00 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 20:21:02 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 20:21:02 | INFO     | core.ui_automator:217 | Waiting 1.5s
